course_code,course_name,department,credits,offering_count,teacher_count,total_enrollment,avg_class_capacity,campus_count,primary_course_type,dominant_time_bucket,weekend_offering_ratio,virtual_schedule_ratio,community_avg_rating,community_review_count,community_avg_comment_length,latest_review_at
PE001C28,艺体塑形,体育系,1.0,2,1,52,34.0,1,必修,afternoon,0.0,0.0,4.812,16.0,176.4,2026/03/04 16:24
PE001C29,舞龙,体育系,1.0,1,1,6,34.0,1,必修,afternoon,0.0,0.0,4.259,27.0,193.9,2026/01/16 18:19
PE001C31,攀岩,体育系,1.0,1,1,20,20.0,1,必修,afternoon,0.0,0.0,5.0,3.0,78.7,2025/06/13 19:55
PE001C32,健身健美,体育系,1.0,1,1,21,26.0,1,必修,morning,0.0,0.0,5.0,12.0,186.3,2026/03/01 15:29
PE001C33,射箭,体育系,1.0,4,2,145,20.0,1,必修,mixed,0.0,0.0,5.0,11.0,192.8,2026/04/13 01:10
PE001C34,室内高尔夫,体育系,1.0,4,2,141,24.0,1,必修,afternoon,0.0,0.0,5.0,19.0,221.6,2026/05/07 20:17
PE001C35,击剑,体育系,1.0,3,1,73,16.0,1,必修,afternoon,0.0,0.0,5.0,6.0,261.0,2026/03/15 16:39
PE001C36,匹克球,体育系,1.0,2,1,63,34.0,1,必修,mixed,0.0,0.0,5.0,33.0,179.5,2026/01/22 23:50
PE001C37,软式曲棍球,体育系,1.0,2,1,23,34.0,1,必修,afternoon,0.0,0.0,4.846,13.0,172.8,2026/01/09 20:35
PE001C38,台球,体育系,1.0,1,1,32,34.0,1,必修,morning,0.0,0.0,,,,
PE001C39,器械健身,体育系,1.0,1,1,22,20.0,1,必修,morning,0.0,0.0,,,,
PE001C40,飞盘,体育系,1.0,1,1,28,34.0,1,必修,afternoon,0.0,0.0,5.0,1.0,448.0,2026/01/12 19:54
PE001C41,龙舟,体育系,1.0,4,2,54,15.25,1,必修,afternoon,0.0,0.0,5.0,3.0,209.0,2026/03/02 08:37
PE001C42,陆地冰壶,体育系,1.0,3,1,69,34.0,1,必修,afternoon,0.0,0.0,4.667,6.0,214.3,2026/01/10 13:02
